skill,learning_priority,demand_percentage,median_salary,total_mentions,salary_mentions
sql,Wajib dipelajari,57.99,92500,92428,3079
excel,Wajib dipelajari,41.95,84479,66860,2135
python,Wajib dipelajari,35.88,98500,57190,1838
tableau,BI & reporting tools,29.14,95000,46455,1657
power bi,BI & reporting tools,24.71,90000,39380,1042
looker,BI & reporting tools,3.93,104000,6259,259
qlik,BI & reporting tools,3.56,100000,5681,98
azure,Skill premium,6.85,100000,10913,312
aws,Skill premium,5.68,100500,9047,294
snowflake,Skill premium,3.88,110240,6178,245
spark,Skill premium,3.16,111175,5029,187
hadoop,Skill premium,2.62,111175,4184,140
bigquery,Skill premium,2.15,105000,3431,83
gcp,Skill premium,2.13,111175,3392,78
databricks,Skill premium,1.98,110000,3152,101
airflow,Skill premium,1.26,111175,2002,72
kafka,Skill premium,0.75,115095,1200,38
r,Skill pendukung utama,18.82,92528,29996,1073
sas,Skill pendukung utama,8.78,90000,13999,503
powerpoint,Skill pendukung utama,8.67,85000,13822,518
word,Skill pendukung utama,8.51,80000,13562,523
sap,Skill pendukung utama,7.08,90000,11280,182
oracle,Skill pendukung utama,6.52,95000,10387,332
sql server,Skill pendukung utama,5.20,92150,8288,336
go,Skill tambahan,4.96,90000,7905,288
flow,Skill tambahan,4.55,94450,7259,270
vba,Skill tambahan,4.29,90000,6841,189
java,Skill tambahan,3.29,96600,5238,136
jira,Skill tambahan,2.98,105582,4746,146
spss,Skill tambahan,2.95,84078,4707,212
javascript,Skill tambahan,2.89,90000,4600,154
alteryx,Skill tambahan,2.87,105000,4570,124
sharepoint,Skill tambahan,2.56,89100,4086,172
outlook,Skill tambahan,2.52,79564,4023,178
dax,Skill tambahan,2.14,97500,3406,75
